cid,name,dob,country,gender,address,email
d81d6c30-fb2a-4edb-8b09-f72f643912fa,Ashlee White,1988-10-02,United States Virgin Islands,Male,2321 Manuel Branch,wwalter@example.org
c8ce6db5-20f8-4ea3-b4d8-7ca27231c9bc,Jeremy Strickland,2006-11-23,Wallis and Futuna,Female,5922 Matthew Tunnel Apt. 527,heidi82@example.org
1e4d8c66-f6ba-4cf4-aa6a-67c8d3371b0c,Sharon Castillo,2005-05-02,Georgia,Other,29407 Joshua Via,ddoyle@example.net
9422f1d2-984e-4674-b189-0bad7ae7c306,Crystal Jackson,1972-02-18,Venezuela,Female,939 Jason Ports,thompsonbenjamin@example.org
80c9b483-176f-46cb-8d3e-ce28fdfa8992,Jacqueline Foster,1974-03-20,Tajikistan,Male,14693 Richard Courts,johnsoncrystal@example.com
89965d0e-9cb3-40f0-8f7c-a1e41c453c79,Jennifer Jones,1960-06-07,Burundi,Other,4329 Melissa Run Suite 934,frazierpeter@example.com
35136451-4863-46ea-a159-ae59cf575878,Jenna Garcia,1993-03-20,Antarctica (the territory South of 60 deg S),Male,31096 Marvin Coves,justin28@example.com
7fc801a7-eb8e-442e-9d4d-f07199e8e479,Mr. Derrick Rodriguez,1961-04-03,Vietnam,Female,9271 Stewart Forks Apt. 629,wolfsamantha@example.net
0bd5d336-cafe-4c98-8e86-aed7d65ca939,James Wright,1995-08-03,Tokelau,Other,552 Jason Ways,flopez@example.com
cee5fdff-20dd-4116-bc32-feb4fafd19c3,Mark Villa,1955-09-04,Mexico,Other,8312 Jones Rapid,elizabeth73@example.com
